CIUDAD,PAIS,DIA,TEMPERATURAS,PRECIPITACIONES,PRESION
TENERIFE,ESPAÑA,2016-12-03,18,0,MEDIA
TENERIFE,ESPAÑA,2016-12-03,8,0,MEDIA
VIGO,ESPAÑA,2016-12-03,17,0,MEDIA
VALLADOLID,ESPAÑA,2016-12-03,19,0,MEDIA
ZARAGOZA,ESPAÑA,2016-12-03,17,0,MEDIA
BILBAO,ESPAÑA,2016-12-03,5,0,MEDIA
BARCELONA,ESPAÑA,2016-12-03,5,0,MEDIA
GRANADA,ESPAÑA,2016-12-03,15,0,MEDIA
CASABLANCA,MARRUECOS,2016-12-03,9,0,MEDIA
OPORTO,PORTUGAL,2016-12-04,9,0,MEDIA
LISBOA,PORTUGAL,2016-12-04,19,0,MEDIA
VILA DO CORVO,PORTUGAL,2016-12-04,12,0,MEDIA
IBIZA,ESPAÑA,2016-12-04,10,0,MEDIA
MADRID,ESPAÑA,2016-12-04,15,0,MEDIA
PAMPLONA,ESPAÑA,2016-12-04,15,0,MEDIA
MURCIA,ESPAÑA,2016-12-04,13,0,MEDIA
SEVILLA,ESPAÑA,2016-12-04,6,0,MEDIA
TENERIFE,ESPAÑA,2016-12-04,5,0,MEDIA
TENERIFE,ESPAÑA,2016-12-04,15,0,MEDIA
VIGO,ESPAÑA,2016-12-04,14,0,MEDIA
VALLADOLID,ESPAÑA,2016-12-04,7,0,MEDIA
ZARAGOZA,ESPAÑA,2016-12-04,15,0,MEDIA
BILBAO,ESPAÑA,2016-12-04,9,0,MEDIA
BARCELONA,ESPAÑA,2016-12-04,5,0,MEDIA
GRANADA,ESPAÑA,2016-12-04,10,0,MEDIA
CASABLANCA,MARRUECOS,2016-12-04,11,0,MEDIA
OPORTO,PORTUGAL,2016-12-05,11,16,BAJA
LISBOA,PORTUGAL,2016-12-05,10,14,BAJA
VILA DO CORVO,PORTUGAL,2016-12-05,13,13,BAJA
IBIZA,ESPAÑA,2016-12-05,15,8,BAJA
MADRID,ESPAÑA,2016-12-05,17,16,BAJA
PAMPLONA,ESPAÑA,2016-12-05,8,14,BAJA
MURCIA,ESPAÑA,2016-12-05,16,11,BAJA
SEVILLA,ESPAÑA,2016-12-05,9,4,BAJA
TENERIFE,ESPAÑA,2016-12-05,12,18,BAJA
TENERIFE,ESPAÑA,2016-12-05,14,11,BAJA
VIGO,ESPAÑA,2016-12-05,18,9,BAJA
VALLADOLID,ESPAÑA,2016-12-05,11,2,BAJA
ZARAGOZA,ESPAÑA,2016-12-05,10,6,BAJA
BILBAO,ESPAÑA,2016-12-05,19,12,BAJA
BARCELONA,ESPAÑA,2016-12-05,15,15,BAJA
GRANADA,ESPAÑA,2016-12-05,18,5,BAJA
CASABLANCA,MARRUECOS,2016-12-05,9,12,BAJA
OPORTO,PORTUGAL,2016-12-06,16,0,MEDIA
LISBOA,PORTUGAL,2016-12-06,16,0,MEDIA
VILA DO CORVO,PORTUGAL,2016-12-06,7,0,MEDIA
IBIZA,ESPAÑA,2016-12-06,18,0,MEDIA
MADRID,ESPAÑA,2016-12-06,5,0,MEDIA
PAMPLONA,ESPAÑA,2016-12-06,11,0,MEDIA
MURCIA,ESPAÑA,2016-12-06,7,0,MEDIA
SEVILLA,ESPAÑA,2016-12-06,14,0,MEDIA
TENERIFE,ESPAÑA,2016-12-06,7,0,MEDIA
TENERIFE,ESPAÑA,2016-12-06,10,0,MEDIA
VIGO,ESPAÑA,2016-12-06,9,0,MEDIA
VALLADOLID,ESPAÑA,2016-12-06,9,0,MEDIA
ZARAGOZA,ESPAÑA,2016-12-06,6,0,MEDIA
BILBAO,ESPAÑA,2016-12-06,10,0,MEDIA
BARCELONA,ESPAÑA,2016-12-06,7,0,MEDIA
GRANADA,ESPAÑA,2016-12-06,17,0,MEDIA
CASABLANCA,MARRUECOS,2016-12-06,12,0,MEDIA
OPORTO,PORTUGAL,2016-12-07,17,0,MEDIA
LISBOA,PORTUGAL,2016-12-07,10,0,MEDIA
VILA DO CORVO,PORTUGAL,2016-12-07,17,0,MEDIA
IBIZA,ESPAÑA,2016-12-07,15,0,MEDIA
MADRID,ESPAÑA,2016-12-07,13,0,MEDIA
PAMPLONA,ESPAÑA,2016-12-07,14,0,MEDIA
MURCIA,ESPAÑA,2016-12-07,16,0,MEDIA
SEVILLA,ESPAÑA,2016-12-07,12,0,MEDIA
TENERIFE,ESPAÑA,2016-12-07,8,0,MEDIA
TENERIFE,ESPAÑA,2016-12-07,6,0,MEDIA
VIGO,ESPAÑA,2016-12-07,7,0,MEDIA
VALLADOLID,ESPAÑA,2016-12-07,6,0,MEDIA
ZARAGOZA,ESPAÑA,2016-12-07,10,0,MEDIA
BILBAO,ESPAÑA,2016-12-07,9,0,MEDIA
BARCELONA,ESPAÑA,2016-12-07,12,0,MEDIA
GRANADA,ESPAÑA,2016-12-07,11,0,MEDIA
CASABLANCA,MARRUECOS,2016-12-07,17,0,MEDIA
OPORTO,PORTUGAL,2016-12-08,15,2,BAJA
LISBOA,PORTUGAL,2016-12-08,18,9,BAJA
VILA DO CORVO,PORTUGAL,2016-12-08,17,18,BAJA
IBIZA,ESPAÑA,2016-12-08,5,10,BAJA
MADRID,ESPAÑA,2016-12-08,13,17,BAJA
PAMPLONA,ESPAÑA,2016-12-08,6,5,BAJA
MURCIA,ESPAÑA,2016-12-08,12,6,BAJA
SEVILLA,ESPAÑA,2016-12-08,7,11,BAJA
TENERIFE,ESPAÑA,2016-12-08,19,10,BAJA
TENERIFE,ESPAÑA,2016-12-08,15,17,BAJA
VIGO,ESPAÑA,2016-12-08,18,17,BAJA
VALLADOLID,ESPAÑA,2016-12-08,14,4,BAJA
ZARAGOZA,ESPAÑA,2016-12-08,5,18,BAJA
BILBAO,ESPAÑA,2016-12-08,5,19,BAJA
BARCELONA,ESPAÑA,2016-12-08,6,8,BAJA
GRANADA,ESPAÑA,2016-12-08,19,5,BAJA
CASABLANCA,MARRUECOS,2016-12-08,10,5,BAJA
OPORTO,PORTUGAL,2016-12-09,19,0,MEDIA
LISBOA,PORTUGAL,2016-12-09,14,0,MEDIA
VILA DO CORVO,PORTUGAL,2016-12-09,18,0,MEDIA
IBIZA,ESPAÑA,2016-12-09,6,0,MEDIA
MADRID,ESPAÑA,2016-12-09,14,0,MEDIA
PAMPLONA,ESPAÑA,2016-12-09,10,0,MEDIA
MURCIA,ESPAÑA,2016-12-09,15,0,MEDIA
SEVILLA,ESPAÑA,2016-12-09,10,0,MEDIA
TENERIFE,ESPAÑA,2016-12-09,8,0,MEDIA
TENERIFE,ESPAÑA,2016-12-09,10,0,MEDIA
VIGO,ESPAÑA,2016-12-09,16,0,MEDIA
VALLADOLID,ESPAÑA,2016-12-09,19,0,MEDIA
ZARAGOZA,ESPAÑA,2016-12-09,12,0,MEDIA
BILBAO,ESPAÑA,2016-12-09,10,0,MEDIA
BARCELONA,ESPAÑA,2016-12-09,19,0,MEDIA
GRANADA,ESPAÑA,2016-12-09,16,0,MEDIA
CASABLANCA,MARRUECOS,2016-12-09,12,0,MEDIA
OPORTO,PORTUGAL,2016-12-10,17,0,MEDIA
LISBOA,PORTUGAL,2016-12-10,16,0,MEDIA
VILA DO CORVO,PORTUGAL,2016-12-10,8,0,MEDIA
IBIZA,ESPAÑA,2016-12-10,6,0,MEDIA
MADRID,ESPAÑA,2016-12-10,6,0,MEDIA
PAMPLONA,ESPAÑA,2016-12-10,16,0,MEDIA
MURCIA,ESPAÑA,2016-12-10,18,0,MEDIA
SEVILLA,ESPAÑA,2016-12-10,15,0,MEDIA
TENERIFE,ESPAÑA,2016-12-10,10,0,MEDIA
TENERIFE,ESPAÑA,2016-12-10,17,0,MEDIA
VIGO,ESPAÑA,2016-12-10,5,0,MEDIA
VALLADOLID,ESPAÑA,2016-12-10,17,0,MEDIA
ZARAGOZA,ESPAÑA,2016-12-10,19,0,MEDIA
BILBAO,ESPAÑA,2016-12-10,17,0,MEDIA
BARCELONA,ESPAÑA,2016-12-10,18,0,MEDIA
GRANADA,ESPAÑA,2016-12-10,10,0,MEDIA
CASABLANCA,MARRUECOS,2016-12-10,12,0,MEDIA
OPORTO,PORTUGAL,2016-12-11,18,1,BAJA
LISBOA,PORTUGAL,2016-12-11,10,10,BAJA
VILA DO CORVO,PORTUGAL,2016-12-11,16,9,BAJA
IBIZA,ESPAÑA,2016-12-11,17,18,BAJA
MADRID,ESPAÑA,2016-12-11,6,18,BAJA
PAMPLONA,ESPAÑA,2016-12-11,14,19,BAJA
MURCIA,ESPAÑA,2016-12-11,18,19,BAJA
SEVILLA,ESPAÑA,2016-12-11,9,3,BAJA
TENERIFE,ESPAÑA,2016-12-11,10,7,BAJA
TENERIFE,ESPAÑA,2016-12-11,18,6,BAJA
VIGO,ESPAÑA,2016-12-11,14,6,BAJA
VALLADOLID,ESPAÑA,2016-12-11,6,14,BAJA
ZARAGOZA,ESPAÑA,2016-12-11,6,4,BAJA
BILBAO,ESPAÑA,2016-12-11,14,14,BAJA
BARCELONA,ESPAÑA,2016-12-11,19,5,BAJA
GRANADA,ESPAÑA,2016-12-11,17,1,BAJA
CASABLANCA,MARRUECOS,2016-12-11,17,8,BAJA
OPORTO,PORTUGAL,2016-12-12,6,0,MEDIA
LISBOA,PORTUGAL,2016-12-12,12,0,MEDIA
VILA DO CORVO,PORTUGAL,2016-12-12,7,0,MEDIA
IBIZA,ESPAÑA,2016-12-12,13,0,MEDIA
MADRID,ESPAÑA,2016-12-12,16,0,MEDIA
PAMPLONA,ESPAÑA,2016-12-12,17,0,MEDIA
MURCIA,ESPAÑA,2016-12-12,14,0,MEDIA
SEVILLA,ESPAÑA,2016-12-12,12,0,MEDIA
TENERIFE,ESPAÑA,2016-12-12,15,0,MEDIA
TENERIFE,ESPAÑA,2016-12-12,15,0,MEDIA
VIGO,ESPAÑA,2016-12-12,17,0,MEDIA
VALLADOLID,ESPAÑA,2016-12-12,7,0,MEDIA
ZARAGOZA,ESPAÑA,2016-12-12,18,0,MEDIA
BILBAO,ESPAÑA,2016-12-12,7,0,MEDIA
BARCELONA,ESPAÑA,2016-12-12,19,0,MEDIA
GRANADA,ESPAÑA,2016-12-12,15,0,MEDIA
CASABLANCA,MARRUECOS,2016-12-12,8,0,MEDIA
OPORTO,PORTUGAL,2016-12-13,17,0,MEDIA
LISBOA,PORTUGAL,2016-12-13,15,0,MEDIA
VILA DO CORVO,PORTUGAL,2016-12-13,16,0,MEDIA
IBIZA,ESPAÑA,2016-12-13,9,0,MEDIA
MADRID,ESPAÑA,2016-12-13,15,0,MEDIA
PAMPLONA,ESPAÑA,2016-12-13,13,0,MEDIA
MURCIA,ESPAÑA,2016-12-13,18,0,MEDIA
SEVILLA,ESPAÑA,2016-12-13,6,0,MEDIA
TENERIFE,ESPAÑA,2016-12-13,5,0,MEDIA
TENERIFE,ESPAÑA,2016-12-13,17,0,MEDIA
VIGO,ESPAÑA,2016-12-13,12,0,MEDIA
VALLADOLID,ESPAÑA,2016-12-13,17,0,MEDIA
ZARAGOZA,ESPAÑA,2016-12-13,10,0,MEDIA
BILBAO,ESPAÑA,2016-12-13,14,0,MEDIA
BARCELONA,ESPAÑA,2016-12-13,11,0,MEDIA
GRANADA,ESPAÑA,2016-12-13,15,0,MEDIA
CASABLANCA,MARRUECOS,2016-12-13,11,0,MEDIA
OPORTO,PORTUGAL,2016-12-14,12,19,BAJA
LISBOA,PORTUGAL,2016-12-14,9,16,BAJA
VILA DO CORVO,PORTUGAL,2016-12-14,5,2,BAJA
IBIZA,ESPAÑA,2016-12-14,11,19,BAJA
MADRID,ESPAÑA,2016-12-14,18,10,BAJA
PAMPLONA,ESPAÑA,2016-12-14,14,2,BAJA
MURCIA,ESPAÑA,2016-12-14,5,3,BAJA
SEVILLA,ESPAÑA,2016-12-14,8,14,BAJA
TENERIFE,ESPAÑA,2016-12-14,6,18,BAJA
TENERIFE,ESPAÑA,2016-12-14,11,8,BAJA
VIGO,ESPAÑA,2016-12-14,13,19,BAJA
VALLADOLID,ESPAÑA,2016-12-14,12,16,BAJA
ZARAGOZA,ESPAÑA,2016-12-14,14,2,BAJA
BILBAO,ESPAÑA,2016-12-14,5,18,BAJA
BARCELONA,ESPAÑA,2016-12-14,9,12,BAJA
GRANADA,ESPAÑA,2016-12-14,16,13,BAJA
CASABLANCA,MARRUECOS,2016-12-14,14,1,BAJA
OPORTO,PORTUGAL,2016-12-15,16,0,MEDIA
LISBOA,PORTUGAL,2016-12-15,9,0,MEDIA
VILA DO CORVO,PORTUGAL,2016-12-15,18,0,MEDIA
IBIZA,ESPAÑA,2016-12-15,5,0,MEDIA
MADRID,ESPAÑA,2016-12-15,8,0,MEDIA
PAMPLONA,ESPAÑA,2016-12-15,8,0,MEDIA
MURCIA,ESPAÑA,2016-12-15,16,0,MEDIA
SEVILLA,ESPAÑA,2016-12-15,13,0,MEDIA
TENERIFE,ESPAÑA,2016-12-15,6,0,MEDIA
TENERIFE,ESPAÑA,2016-12-15,14,0,MEDIA
VIGO,ESPAÑA,2016-12-15,15,0,MEDIA
VALLADOLID,ESPAÑA,2016-12-15,14,0,MEDIA
ZARAGOZA,ESPAÑA,2016-12-15,14,0,MEDIA
BILBAO,ESPAÑA,2016-12-15,19,0,MEDIA
BARCELONA,ESPAÑA,2016-12-15,19,0,MEDIA
GRANADA,ESPAÑA,2016-12-15,15,0,MEDIA
CASABLANCA,MARRUECOS,2016-12-15,9,0,MEDIA
OPORTO,PORTUGAL,2016-12-16,11,0,MEDIA
LISBOA,PORTUGAL,2016-12-16,7,0,MEDIA
VILA DO CORVO,PORTUGAL,2016-12-16,13,0,MEDIA
IBIZA,ESPAÑA,2016-12-16,5,0,MEDIA
MADRID,ESPAÑA,2016-12-16,8,0,MEDIA
PAMPLONA,ESPAÑA,2016-12-16,18,0,MEDIA
MURCIA,ESPAÑA,2016-12-16,13,0,MEDIA
SEVILLA,ESPAÑA,2016-12-16,12,0,MEDIA
TENERIFE,ESPAÑA,2016-12-16,13,0,MEDIA
TENERIFE,ESPAÑA,2016-12-16,17,0,MEDIA
VIGO,ESPAÑA,2016-12-16,13,0,MEDIA
VALLADOLID,ESPAÑA,2016-12-16,17,0,MEDIA
ZARAGOZA,ESPAÑA,2016-12-16,6,0,MEDIA
BILBAO,ESPAÑA,2016-12-16,19,0,MEDIA
BARCELONA,ESPAÑA,2016-12-16,13,0,MEDIA
GRANADA,ESPAÑA,2016-12-16,12,0,MEDIA
CASABLANCA,MARRUECOS,2016-12-16,10,0,MEDIA
OPORTO,PORTUGAL,2016-12-17,15,17,BAJA
LISBOA,PORTUGAL,2016-12-17,11,6,BAJA
VILA DO CORVO,PORTUGAL,2016-12-17,15,11,BAJA
IBIZA,ESPAÑA,2016-12-17,6,4,BAJA
MADRID,ESPAÑA,2016-12-17,8,11,BAJA
PAMPLONA,ESPAÑA,2016-12-17,9,12,BAJA
MURCIA,ESPAÑA,2016-12-17,17,5,BAJA
SEVILLA,ESPAÑA,2016-12-17,11,3,BAJA
TENERIFE,ESPAÑA,2016-12-17,9,5,BAJA
TENERIFE,ESPAÑA,2016-12-17,13,9,BAJA
VIGO,ESPAÑA,2016-12-17,11,10,BAJA
VALLADOLID,ESPAÑA,2016-12-17,8,9,BAJA
ZARAGOZA,ESPAÑA,2016-12-17,8,12,BAJA
BILBAO,ESPAÑA,2016-12-17,11,1,BAJA
BARCELONA,ESPAÑA,2016-12-17,19,16,BAJA
GRANADA,ESPAÑA,2016-12-17,19,10,BAJA
CASABLANCA,MARRUECOS,2016-12-17,16,2,BAJA
OPORTO,PORTUGAL,2016-12-18,11,0,MEDIA
LISBOA,PORTUGAL,2016-12-18,17,0,MEDIA
VILA DO CORVO,PORTUGAL,2016-12-18,16,0,MEDIA
IBIZA,ESPAÑA,2016-12-18,10,0,MEDIA
MADRID,ESPAÑA,2016-12-18,15,0,MEDIA
PAMPLONA,ESPAÑA,2016-12-18,10,0,MEDIA
MURCIA,ESPAÑA,2016-12-18,5,0,MEDIA
SEVILLA,ESPAÑA,2016-12-18,11,0,MEDIA
TENERIFE,ESPAÑA,2016-12-18,15,0,MEDIA
TENERIFE,ESPAÑA,2016-12-18,6,0,MEDIA
VIGO,ESPAÑA,2016-12-18,12,0,MEDIA
VALLADOLID,ESPAÑA,2016-12-18,5,0,MEDIA
ZARAGOZA,ESPAÑA,2016-12-18,19,0,MEDIA
BILBAO,ESPAÑA,2016-12-18,11,0,MEDIA
BARCELONA,ESPAÑA,2016-12-18,18,0,MEDIA
GRANADA,ESPAÑA,2016-12-18,5,0,MEDIA
CASABLANCA,MARRUECOS,2016-12-18,17,0,MEDIA
OPORTO,PORTUGAL,2016-12-19,19,0,MEDIA
LISBOA,PORTUGAL,2016-12-19,16,0,MEDIA
VILA DO CORVO,PORTUGAL,2016-12-19,9,0,MEDIA
IBIZA,ESPAÑA,2016-12-19,9,0,MEDIA
MADRID,ESPAÑA,2016-12-19,14,0,MEDIA
PAMPLONA,ESPAÑA,2016-12-19,13,0,MEDIA
MURCIA,ESPAÑA,2016-12-19,13,0,MEDIA
SEVILLA,ESPAÑA,2016-12-19,10,0,MEDIA
TENERIFE,ESPAÑA,2016-12-19,6,0,MEDIA
TENERIFE,ESPAÑA,2016-12-19,16,0,MEDIA
VIGO,ESPAÑA,2016-12-19,12,0,MEDIA
VALLADOLID,ESPAÑA,2016-12-19,16,0,MEDIA
ZARAGOZA,ESPAÑA,2016-12-19,19,0,MEDIA
BILBAO,ESPAÑA,2016-12-19,18,0,MEDIA
BARCELONA,ESPAÑA,2016-12-19,15,0,MEDIA
GRANADA,ESPAÑA,2016-12-19,15,0,MEDIA
CASABLANCA,MARRUECOS,2016-12-19,18,0,MEDIA
OPORTO,PORTUGAL,2016-12-20,6,8,BAJA
LISBOA,PORTUGAL,2016-12-20,17,5,BAJA
VILA DO CORVO,PORTUGAL,2016-12-20,11,15,BAJA
IBIZA,ESPAÑA,2016-12-20,9,11,BAJA
MADRID,ESPAÑA,2016-12-20,8,19,BAJA
PAMPLONA,ESPAÑA,2016-12-20,16,9,BAJA
MURCIA,ESPAÑA,2016-12-20,12,1,BAJA
SEVILLA,ESPAÑA,2016-12-20,11,13,BAJA
TENERIFE,ESPAÑA,2016-12-20,16,19,BAJA
TENERIFE,ESPAÑA,2016-12-20,6,19,BAJA
VIGO,ESPAÑA,2016-12-20,9,11,BAJA
VALLADOLID,ESPAÑA,2016-12-20,10,8,BAJA
ZARAGOZA,ESPAÑA,2016-12-20,11,2,BAJA
BILBAO,ESPAÑA,2016-12-20,13,2,BAJA
BARCELONA,ESPAÑA,2016-12-20,13,2,BAJA
GRANADA,ESPAÑA,2016-12-20,11,18,BAJA
CASABLANCA,MARRUECOS,2016-12-20,11,2,BAJA
OPORTO,PORTUGAL,2016-12-21,10,0,MEDIA
LISBOA,PORTUGAL,2016-12-21,14,0,MEDIA
VILA DO CORVO,PORTUGAL,2016-12-21,17,0,MEDIA
IBIZA,ESPAÑA,2016-12-21,12,0,MEDIA
MADRID,ESPAÑA,2016-12-21,16,0,MEDIA
PAMPLONA,ESPAÑA,2016-12-21,16,0,MEDIA
MURCIA,ESPAÑA,2016-12-21,9,0,MEDIA
SEVILLA,ESPAÑA,2016-12-21,12,0,MEDIA
TENERIFE,ESPAÑA,2016-12-21,10,0,MEDIA
TENERIFE,ESPAÑA,2016-12-21,6,0,MEDIA
VIGO,ESPAÑA,2016-12-21,14,0,MEDIA
VALLADOLID,ESPAÑA,2016-12-21,19,0,MEDIA
ZARAGOZA,ESPAÑA,2016-12-21,8,0,MEDIA
BILBAO,ESPAÑA,2016-12-21,10,0,MEDIA
BARCELONA,ESPAÑA,2016-12-21,14,0,MEDIA
GRANADA,ESPAÑA,2016-12-21,11,0,MEDIA
CASABLANCA,MARRUECOS,2016-12-21,10,0,MEDIA
OPORTO,PORTUGAL,2016-12-22,6,0,MEDIA
LISBOA,PORTUGAL,2016-12-22,13,0,MEDIA
VILA DO CORVO,PORTUGAL,2016-12-22,18,0,MEDIA
IBIZA,ESPAÑA,2016-12-22,14,0,MEDIA
MADRID,ESPAÑA,2016-12-22,19,0,MEDIA
PAMPLONA,ESPAÑA,2016-12-22,9,0,MEDIA
MURCIA,ESPAÑA,2016-12-22,14,0,MEDIA
SEVILLA,ESPAÑA,2016-12-22,9,0,MEDIA
TENERIFE,ESPAÑA,2016-12-22,18,0,MEDIA
TENERIFE,ESPAÑA,2016-12-22,5,0,MEDIA
VIGO,ESPAÑA,2016-12-22,6,0,MEDIA
VALLADOLID,ESPAÑA,2016-12-22,9,0,MEDIA
ZARAGOZA,ESPAÑA,2016-12-22,17,0,MEDIA
BILBAO,ESPAÑA,2016-12-22,8,0,MEDIA
BARCELONA,ESPAÑA,2016-12-22,11,0,MEDIA
GRANADA,ESPAÑA,2016-12-22,6,0,MEDIA
CASABLANCA,MARRUECOS,2016-12-22,14,0,MEDIA
OPORTO,PORTUGAL,2016-12-23,16,19,BAJA
LISBOA,PORTUGAL,2016-12-23,8,8,BAJA
VILA DO CORVO,PORTUGAL,2016-12-23,8,10,BAJA
IBIZA,ESPAÑA,2016-12-23,6,13,BAJA
MADRID,ESPAÑA,2016-12-23,6,15,BAJA
PAMPLONA,ESPAÑA,2016-12-23,10,10,BAJA
MURCIA,ESPAÑA,2016-12-23,14,4,BAJA
SEVILLA,ESPAÑA,2016-12-23,8,14,BAJA
TENERIFE,ESPAÑA,2016-12-23,7,11,BAJA
TENERIFE,ESPAÑA,2016-12-23,19,12,BAJA
VIGO,ESPAÑA,2016-12-23,12,4,BAJA
VALLADOLID,ESPAÑA,2016-12-23,10,5,BAJA
ZARAGOZA,ESPAÑA,2016-12-23,7,10,BAJA
BILBAO,ESPAÑA,2016-12-23,19,4,BAJA
BARCELONA,ESPAÑA,2016-12-23,8,16,BAJA
GRANADA,ESPAÑA,2016-12-23,13,3,BAJA
CASABLANCA,MARRUECOS,2016-12-23,14,15,BAJA
OPORTO,PORTUGAL,2016-12-24,17,0,MEDIA
LISBOA,PORTUGAL,2016-12-24,13,0,MEDIA
VILA DO CORVO,PORTUGAL,2016-12-24,7,0,MEDIA
IBIZA,ESPAÑA,2016-12-24,16,0,MEDIA
MADRID,ESPAÑA,2016-12-24,14,0,MEDIA
PAMPLONA,ESPAÑA,2016-12-24,17,0,MEDIA
MURCIA,ESPAÑA,2016-12-24,11,0,MEDIA
SEVILLA,ESPAÑA,2016-12-24,16,0,MEDIA
TENERIFE,ESPAÑA,2016-12-24,14,0,MEDIA
TENERIFE,ESPAÑA,2016-12-24,14,0,MEDIA
VIGO,ESPAÑA,2016-12-24,7,0,MEDIA
VALLADOLID,ESPAÑA,2016-12-24,6,0,MEDIA
ZARAGOZA,ESPAÑA,2016-12-24,9,0,MEDIA
BILBAO,ESPAÑA,2016-12-24,19,0,MEDIA
BARCELONA,ESPAÑA,2016-12-24,16,0,MEDIA
GRANADA,ESPAÑA,2016-12-24,10,0,MEDIA
CASABLANCA,MARRUECOS,2016-12-24,13,0,MEDIA
OPORTO,PORTUGAL,2016-12-25,15,0,MEDIA
LISBOA,PORTUGAL,2016-12-25,8,0,MEDIA
VILA DO CORVO,PORTUGAL,2016-12-25,7,0,MEDIA
IBIZA,ESPAÑA,2016-12-25,17,0,MEDIA
MADRID,ESPAÑA,2016-12-25,13,0,MEDIA
PAMPLONA,ESPAÑA,2016-12-25,11,0,MEDIA
MURCIA,ESPAÑA,2016-12-25,19,0,MEDIA
SEVILLA,ESPAÑA,2016-12-25,19,0,MEDIA
TENERIFE,ESPAÑA,2016-12-25,5,0,MEDIA
TENERIFE,ESPAÑA,2016-12-25,17,0,MEDIA
VIGO,ESPAÑA,2016-12-25,14,0,MEDIA
VALLADOLID,ESPAÑA,2016-12-25,13,0,MEDIA
ZARAGOZA,ESPAÑA,2016-12-25,18,0,MEDIA
BILBAO,ESPAÑA,2016-12-25,15,0,MEDIA
BARCELONA,ESPAÑA,2016-12-25,19,0,MEDIA
GRANADA,ESPAÑA,2016-12-25,14,0,MEDIA
CASABLANCA,MARRUECOS,2016-12-25,16,0,MEDIA
OPORTO,PORTUGAL,2016-12-26,18,13,BAJA
LISBOA,PORTUGAL,2016-12-26,15,15,BAJA
VILA DO CORVO,PORTUGAL,2016-12-26,7,10,BAJA
IBIZA,ESPAÑA,2016-12-26,11,2,BAJA
MADRID,ESPAÑA,2016-12-26,6,13,BAJA
PAMPLONA,ESPAÑA,2016-12-26,12,15,BAJA
MURCIA,ESPAÑA,2016-12-26,10,16,BAJA
SEVILLA,ESPAÑA,2016-12-26,16,19,BAJA
TENERIFE,ESPAÑA,2016-12-26,11,10,BAJA
TENERIFE,ESPAÑA,2016-12-26,16,6,BAJA
VIGO,ESPAÑA,2016-12-26,8,16,BAJA
VALLADOLID,ESPAÑA,2016-12-26,10,19,BAJA
ZARAGOZA,ESPAÑA,2016-12-26,19,3,BAJA
BILBAO,ESPAÑA,2016-12-26,14,4,BAJA
BARCELONA,ESPAÑA,2016-12-26,11,10,BAJA
GRANADA,ESPAÑA,2016-12-26,18,6,BAJA
CASABLANCA,MARRUECOS,2016-12-26,10,16,BAJA
OPORTO,PORTUGAL,2016-12-27,19,0,MEDIA
LISBOA,PORTUGAL,2016-12-27,15,0,MEDIA
VILA DO CORVO,PORTUGAL,2016-12-27,14,0,MEDIA
IBIZA,ESPAÑA,2016-12-27,14,0,MEDIA
MADRID,ESPAÑA,2016-12-27,19,0,MEDIA
PAMPLONA,ESPAÑA,2016-12-27,14,0,MEDIA
MURCIA,ESPAÑA,2016-12-27,13,0,MEDIA
SEVILLA,ESPAÑA,2016-12-27,11,0,MEDIA
TENERIFE,ESPAÑA,2016-12-27,13,0,MEDIA
TENERIFE,ESPAÑA,2016-12-27,15,0,MEDIA
VIGO,ESPAÑA,2016-12-27,13,0,MEDIA
VALLADOLID,ESPAÑA,2016-12-27,19,0,MEDIA
ZARAGOZA,ESPAÑA,2016-12-27,14,0,MEDIA
BILBAO,ESPAÑA,2016-12-27,13,0,MEDIA
BARCELONA,ESPAÑA,2016-12-27,11,0,MEDIA
GRANADA,ESPAÑA,2016-12-27,14,0,MEDIA
CASABLANCA,MARRUECOS,2016-12-27,18,0,MEDIA
OPORTO,PORTUGAL,2016-12-28,8,0,MEDIA
LISBOA,PORTUGAL,2016-12-28,5,0,MEDIA
VILA DO CORVO,PORTUGAL,2016-12-28,10,0,MEDIA
IBIZA,ESPAÑA,2016-12-28,6,0,MEDIA
MADRID,ESPAÑA,2016-12-28,14,0,MEDIA
PAMPLONA,ESPAÑA,2016-12-28,19,0,MEDIA
MURCIA,ESPAÑA,2016-12-28,5,0,MEDIA
SEVILLA,ESPAÑA,2016-12-28,7,0,MEDIA
TENERIFE,ESPAÑA,2016-12-28,14,0,MEDIA
TENERIFE,ESPAÑA,2016-12-28,10,0,MEDIA
VIGO,ESPAÑA,2016-12-28,9,0,MEDIA
VALLADOLID,ESPAÑA,2016-12-28,6,0,MEDIA
ZARAGOZA,ESPAÑA,2016-12-28,13,0,MEDIA
BILBAO,ESPAÑA,2016-12-28,10,0,MEDIA
BARCELONA,ESPAÑA,2016-12-28,17,0,MEDIA
GRANADA,ESPAÑA,2016-12-28,8,0,MEDIA
CASABLANCA,MARRUECOS,2016-12-28,8,0,MEDIA
OPORTO,PORTUGAL,2016-12-29,7,6,BAJA
LISBOA,PORTUGAL,2016-12-29,5,13,BAJA
VILA DO CORVO,PORTUGAL,2016-12-29,7,7,BAJA
IBIZA,ESPAÑA,2016-12-29,5,19,BAJA
MADRID,ESPAÑA,2016-12-29,5,9,BAJA
PAMPLONA,ESPAÑA,2016-12-29,15,11,BAJA
MURCIA,ESPAÑA,2016-12-29,17,16,BAJA
SEVILLA,ESPAÑA,2016-12-29,15,2,BAJA
